,Comments,Ratings
13,"I just bought and unboxed it.its a budget friendly Smartphone. in this box contains a Smart Phone,Sim Ejecter Pin,10 W Charger,Micro USB Cable for Charging.HD plus Display

And Operating system is Xiaomi Latest user interface MI UI12 .

Water Coating ,in this price range its display and sound is not bad.
And better experience.

Demerrits is
Not a fast charger ,IR Blaster feature is not available.
It is not a big demerrits .in this price this is an amazing smartphone.
I liked this Phone and recommend my friends because its a budget smartphone.

Now many phones provided everything good more than redmi 9.i repeat its a budget smartphone. That because i recommend my friends.

Anything i missed discuss to you ,sorry about that.
Thankfully
Amazon Customer
More Than Amazon Lover",5.0
14,"This phone is a budget smartphone with decent performance. I am using this phone for last 3 months so I am sharing my views basis my experience. If you are bying it for regular uasge like calls, watching YouTube and whatsapp then it's good. Don't consider this phone for gaming or heavy usage as it lags then. I hav bought this phone for my son for his online classes, calls and for YouTube videos so it's working fine.",5.0
15,Amazing product 😊 thanks you,5.0
16,"Very good product, nice looking,super",5.0
17,I love this mobile redmi 9 its a beautiful mobile in law budgget.,5.0
18,"Value for money product. The #Redmi9 is best mobile at this rate which comes 2.3ghz clock speed and 4GB ram. Very smooth and I liked the battery capacity very much. I can play pubg on it for continue 5 hours after full. So happy that I buyed this mobile. I love the #MI brand very much.
#Redmi9_iz_lub",5.0
19,"1: Purchased for Father who is knew to the smartphone world operation and features and it served his purpose the very best in this range of INR 10K.
2: Also in the mobile industry every thing changes so dynamically that sky rocket configurations and prices have no limits hence sticked to this fix budget of INR 10K and features to an extent to conclude the purchase.
3: Orange Color is quiet charming and pleasant to opt as well.",5.0
20,"Fast Fingerprint reader, large and clear screen, huge battery, overall well built. I choose this for my girlfriend, she doesn't play heavy games, for that matter she doesn't play any games on smartphons, so the Helio G35 with 4gb ram and 64gb storage is more then enough for her Facebook insta, and the 6.57inch HD display is also great for her nonstop Netflix and other media consumptions. She actually needed a phone with big screen and finger print security. Plus good battery life and no lags. So redmi 9 was a great gift for her. I myself use Realme x2pro because I'm a heavy user so that super amoled fhd+ 90hz display is a sureshot nessesity for me and a phone with the Snapdragon 855+ processer was what I was looking for under 35k. First I thought to buy her some similar phone but than I thought why? She don't need that much powerful phone, so I gave her exactly what she needed. Huge screen, huge battery, good camera decent processer, 4gb ram. For her multitasking and 64gb storage for all her photos songs and videos and yea it has option for expanding the memory too which my phone doesn't have so I have to stick to the 128gb only.",5.0
21,"Its a great phone but don't buy Acko insurance with it as theyvare fraud.
I bought the insurance with the phone, I got a message from Acko to register and I did. I saw the insurance being activated on my number and the device but the very next day without any reason they cancelled it themselves . Then it was a fight between them and Amazon. Amazon suggest to buy the insurance again which I did and again Acko denied it as it was not bought with the phone. I just feel its a fraud going on, they generate interest with insurance with phone and later cheat like this. DONT BUT ACKO insurance",5.0
22,"I bought this for my nani quality is great even i tried some gsmes like wcc3 abd wcc2 it handels perfectly but at low setting, according to price mobile is awesome battery backup in 6 - 8 days if only use for calling and if you are multitasker then easily last for 1-1.5 day on heavy to moderate use, now coming to camera the camera is not ss great but i got this for 8000 it worth every penny i spend you can't accept a flagship level camera at this price, if you are a camera lover just don't buy but if you want big storage big battery abd classy looks and a trusted brand just go for it you will not regret at your decision. Handels multitasking easily but not a gaming processor, you can use 10 apps wp, fb, YouTube and all without any lag issue. Phone doesn't heat that's good. Great quality mobile at affordable price thanku MI. And Amazon",5.0
23,I am so addicted to Amazon now that I don't even remember half my orders. They just come and I take them. It's that simple. This product had a exchange option where i had to return my older phone. No problems. The entire process took 10 mins. The executive came took my phone check a few things and game me the new phone and left. Amazing !!,5.0
24,"The phone is of 6.53 inches and it's so big. The camera quality is also nice.When I ordered the phone I was checking people's review some was saying it's bad, some was saying it's camera is not good and some were saying it's awesome and much etc but then I decided to order it when the phone reached to me I checked it, like always amazon gives you the best. Overall I wanna say about the phone is you should buy it, it's so good❤️🙏👍 #loveit",5.0
25,It is the best phone at 8999,5.0
26,"Redmi 9 smartphone was launched on 27th August 2020. The phone comes with a 6.53-inch touchscreen display with a resolution of 720x1600 pixels and an aspect ratio of 20:9. Redmi 9 is powered by an octa-core MediaTek Helio G35 processor. It comes with 4GB of RAM. The Redmi 9 runs Android 10 and is powered by a 5000mAh battery. The Redmi 9 supports proprietary fast charging.

As far as the cameras are concerned, the Redmi 9 on the rear packs a 13-megapixel primary camera with an f/2.2 aperture and a second 2-megapixel camera with an f/2.4 aperture. The rear camera setup has autofocus. It sports a 5-megapixel camera on the front for selfies, with an f/2.2 aperture and a pixel size of 1.12-micron.

The Redmi 9 runs MIUI 12 based on Android 10 and packs 64GB of inbuilt storage that can be expanded via microSD card (up to 512GB) with a dedicated slot. The Redmi 9 is a dual-SIM (GSM and GSM) smartphone that accepts Nano-SIM and Nano-SIM cards. The Redmi 9 measures 164.90 x 77.07 x 9.00mm (height x width x thickness) and weighs 196.00 grams. It was launched in Carbon Black, Sporty Orange, and Sky Blue colours.

Connectivity options on the Redmi 9 include Wi-Fi 802.11 b/g/n, GPS, Bluetooth v5.00, Micro-USB, FM radio, 3G, and 4G (with support for Band 40 used by some LTE networks in India). Sensors on the phone include accelerometer, ambient light sensor, proximity sensor, and fingerprint sensor. The Redmi 9 supports face unlock.

As of 24th October 2020, Redmi 9 price in India starts at Rs. 8,999.",5.0
27,Camera is good & the battery backup is strong & at this cost that is amazing phone,5.0
28,"I am using this since phone since a week, completely a good experience and and camera got its best potential, best display, battery, and speakers, value for money. #redmi9 best mobile , overall best mobile.",5.0
29,"Play Video
 Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing
🇩 🇪 🇸 🇮 🇬 🇳
Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.
🇩 🇮 🇸 🇵 🇱 🇦 🇾
The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.
🅱🅰🆃🆃🅴🆁🆈
The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?
🅲🅰🅼🅴🆁🅰
There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps",5.0
30,I bet a Redmi series of phone doesn't need reviews. It's always the best for budget. Only pros is lagging after a while due to more bug fix updates and usage of more apps. Otherwise Redmi rockzzz,5.0
31,"Genuine product.
Loved this phone... actually bought for my mom on her birthday she loved it.. 💙
Made in India and has no ban apps pre-installed that's impressive.
Overall worth buying. Totally budget phone with good configuration.
Ordered on last night got the delivery early morning 8am that was so fast very impressive.",5.0
32,The overall performance of the phone is very good but the camera is not very much when compared to other phones pixel rate is I don't know it's not good also. the alarm option alarm it is not at all making any sound. When you set an alarm it is very hard to hear the alarm sound,5.0
33,"I buy this mobile on but there is hitting chargger an mobile both .so I call Amazon customer service there is one executive he told me some software check an update but I don't try because of I buy new phone then why should I try ............that's time executive speak his supiror an told me pls pack this mobile I arrange new pack pic return.

Thanks to Amazon return my mobile an give me another mobile within 3 working day's I m very happy my mobile I recieved an check all is working properly.

Once again thank executive I forgot that's name but thanks a lots ........I m sure next time any product buy I m going on Amazon ..........",5.0
34,It's a cool phone with an awesome look with good battery life and an average camera. Thought it would be heavy and difficult to handle... But once I held it in my hand it was very lightweight and slim.. overall great phone to buy in such an amazing price!,5.0
35,"I feel AMAZON shopping a very happy and experience about my buy new MI redmi mobile at low weight,speed processor low price,more futures have. Totally satisfied a mobile use. Battery back up status is well and expected.my family is lucky at this mobile buying.once thanks to AMAZON great job.",5.0
36,"I bought this phone for my daughter and she's happy to get it. She got online classes and she's happy to get a nice phone. She's not able to control her excitement as she didn't expect the good phone, she also play games on it and it's as per the needs.",5.0
37,"Phone is good in segment, i love the display its very clear and detailing.
Battery back up is super, goor performance, built quality finishing etc are excellent, on the part of camera iam very disappointed cz redmi need to improve the clarity of camera considering the other company in this segment. Just ok thats all about camera. Otherwise its a nice pack and value for money",5.0
38,"Best phone to buy at this rate.
My ratings
Front Camera 7/10
Rear Camera 8/10
Fingerprint 10/10
Display 9/10 (-1 for low 1080p resolution)
Design 10/10
Facelock 10/10 (also detect in dark)
Size 10/10
Weight 9/10 (195gm not easy to handle)",5.0
39,"Bought this phone for my parents. They don't play games nor spend hours on social media, the battery life for the elders is awesome. For their usage (mostly watching youtube, whatsapp, zoom calls, MS teams, and other common applications) this has been a good gadget. With 126GB internal memory, this phone is not going to indicate memory low even if they receive 100s of social media forwards and voice notes. The mobile came with unwanted apps, which I deleted while setting up. Very happy with the clarity of text and the font size. Apps don't appear to be cluttered and notifications are displayed clearly. Overall happy with this mobile.",5.0
40,"I use dis cell for calling, txtin, 8ball pool. Cell is awesome. Smooth ui. Wat amazon really amazed me was tat the manufacturing date was 10/2020.i ordered 16 of Oct. Phone is perfect. I Don game n take pics. Dis is a grt budget mob. Ty amazon. (for the grt xchange offer) RAGHAV HAPPY 😁🎉",5.0
41,If you need a phone under 10K with decent features then this is the phone ..,5.0
42,"Osm

Amazing experience

All in one

Mind blowing phone

Special thanks to mr manu jain

Co-founder mi

Lot of thanks",5.0
43,"I always used to feel that spending more than 10k on a mobile is waste for people who uses his mobile for a small period of time, iam the person who uses his phone hardly for 2 hrs a day, I used it for 4 days in a single charge I felt very great.",5.0
44,I was worried by seeing the negative reviews. But then I purchased it and now I am happy. It's a good mobile. Overall it's performance is upto the level as per the price. Some people are expecting it to run as high priced phones having lots of more features. It's overall good.,5.0
45,1 month review. Easy to use phone even for elderly after shifting from Samsung smartphone. Camera is sharper than Redmi 6 and focuses better too. Battery lasts for 3+ days with minimal internet usage. Sound quality is good.,5.0
46,"Best budget mobile under 9000/-
Better to go with Redmi 9 Prime",5.0
47,By buying this product i am very happy ist battery life is more than 20hour and it never warm i play 2 hour continued game but it is not warm it is more batter than other products in this range,5.0
48,"I purchased this phone in Oct 2020 and after using 9 months very smoothly, it accidentally fell and screen damaged completely. We had taken Acko General Insurance so we contacted them and they picked device from home, replaced with new screen and delivered to home !!! This mobile and it's insurance both are truly value for money.",5.0
49,"First of all I must thank Amazon for delivering the phone in less than 24 hours. The exchange was hassle free.
I have been using Redmi phones since 5 years. The features present in Redmi 9 are not available at this low price. If you want a all rounder with a limited budget go for it.",5.0
50,"Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing
🇩 🇪 🇸 🇮 🇬 🇳 
Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.
🇩 🇮 🇸 🇵 🇱 🇦 🇾 
The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.
🅱🅰🆃🆃🅴🆁🆈
The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?
🅲🅰🅼🅴🆁🅰
There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps.",4.0
51,"i didn't upload photo ....for any reason but it is not up to the mark .
1.display 4/5
2.cam 3/5
3.fing sens.. 4.5/5
4.processor 3/5
5.build quality 3.75/5
back panel is not good looking coz some self design as per my opinion
in this price segment rs 9000 is good enough",4.0
52,Product is best at this price but charging speed is very slow but we cannot accept more then this at this price,4.0
53,"Overall its good and satisfied for the price.
Pros:
1. Good Battery.
2. Best budget phone for 8999 with 4GB RAM and 64GB Internal Memory.
The only drawback i felt is Camera.
If you are looking for a better camera I would suggest to pick some other model.",4.0
54,It is a good phone which is orange a nice colour I love it it features are better than other phones,4.0
55,"First Of All I Bought This for my Dad against his old MI 5A .I Got This For 6800 Only.Please Dont This in Buy in 9000/-.
My Review Scores Are-
Battery Backup- 10/10
Storage - 10/10
Camera - Rear(7/10);Front(5/10)
Sensers - 10/10
Build Quality - 10/10
Looks - 10/10
Performance -9/10(Not Gaming Type Phone Cause G35)

Overall Suggestion Is :
You Should Buy If
●You Are Normal User who wants long battery backup(WA/FB/Insta/Uthoob/Calls)
●Looks Matters
●You Are Not "" Selfie-Lover "" Type Person

You Shouldn't Buy If
●You have hardcore needs like video editing,coding, designing
●You Are Hardcore Gamer
●You Are ""Selfie Wala Person""

Thankyou😎
P.S:- You Can Consider Redmi 9 Prime If You Are Second Category😁",4.0
56,Good,4.0
57,"Overall good mobile...
But Camera not good as expected.
Overall Performance is good .
Value For Money",4.0
58,"This is a very good product with low price. Thanks Amazon and Redmi Mobile for this product.
Excellent looks and colour and awesome features.
I love this product too much thanks Amazon again.",4.0
59,phone is good. works smooth. but camera is very disappointing....,4.0
60,Good option after Realme Narzo 10A and C3,4.0
61,2 problem No Type-C port and IR Blaster,4.0
62,"Product is nice,battery life also good,apart from camera quality not apto the mark but overall value for money product....only issue is they not provide me tempered glass & back cover too along with handset...they should provide this 2 things together...overall fine...thanks😊💐👍",4.0
63,"Product is good but protection (back cover) not provided and not available in market for this model.
Pl. Provide suitable simple back case for minium protection",4.0
64,"Good phone in this price category.

Pros -
# screen size is good and can be use with 1 hand also.
# look of the phone is good in compare to others phone of this category.
# phone i haven't used much but 5000 mah battery would be good.

Cons :-
I have not found more but on the back side 2 camera are there and one camera is just dummy print.

Suggestion :

Better to go with 128 GB. Mine is 64GB only.",4.0
65,"My primary phone screen shattered and due to lockdown I'm unable to fix it.
Ordered redmi 9 and Amazon delivered in 1day. A miracle! At these times.
Great phone for the price, really happy with performance. Never heats up. Battery last 2 days with heavy use.
Camera very very poor quality.
So if buying for camera consider higher models.
Highly impressed for the price.
Go for it.",4.0
66,"Bought in october 2020. One day delivery from amazon, great as always. Using the device since then, so here is the detailed review of redmi 9.

- Built quality is good overall. Feels a midrange smartphone and a bit bulky in hand, due to plastic back. But other than that, phone is built decent.

- Processor stack (Helio G35) is mediocre, to get the job done. Provides adequate performance, nothing too fancy there.

- Having a battery of 5000 mAh, it lasts roughly around whole day while performing day to day activities like streaming, browsing and downloading. Never tested games on it. So, performance might differ in that case. While charging device heats up significantly, while taking from 0% it took 5 hours to make it 100% as its bundled with 10W slow charger.

- The IPS HD+ display is doing well, I haven't got any issues regarding color accuracy, saturation or viewing angles as of now.

- Speakers are decent, not that great. Call quality and cellular reception is good, on par with the other alternatives.

- All Mi phones has the same issues in software part as this one also having MIUI, packed with a lot of bloatware and stuff. Security patches are updated regularly, but the overall update cycles are indefinite and after an update some features just stops working randomly. After OTA update, phone dropped signal, kept restarting, keyboard is not appeared when focused on an inputbox, etc etc. Overall an laggy android experience.

- Camera is really disappointing. Not good at all, the daylight images are bad, HDR is not working properly. Images taken in night are even worse.

These are the things I have found during 5 months of usage. Thanks",4.0
67,"Let's start with the pros:
A really good battery. Easily runs for an entire day in higher than average use. Lightweight, Sleek, Has smooth fingerprint sensor, loud and has a really good processor if you're a game lover. The photos despite twin cam setup are good and only get grainy in low light. Use pro-mode if you want the best output.

Cons:
No type C charge or Fast Charge Support. Could have been better had there been tri cam setup like Poco C3 (it lacks FingerPrint Sensor though). Non Stock Android is a turn off as phones like Moto G10 Power and many other have either Stock Android or lesser bloatwares while MIUI is notorious with its UI.

Summary: Go for it if you're MIUI user as it will feel very homely. Also, if you are a game lover an want something under 10K, this is one of the options you should go for. Don't opt for it if you're hardcore into photography.

7.5/10",4.0
68,"Good phone in price segment👍 👍💯👏 ✧༺♥༻✧⋆ ˚｡⋆୨୧˚　˚୨୧⋆｡˚ ⋆*＊✿❀　❀✿＊*♥*♡∞:｡.｡　　*+:｡.｡　｡.｡:+*｡.｡:∞♡*♥.・゜-: ✧ :-　　｡･:*:･ﾟ★,｡･:*:･ﾟ☆-: ✧ :-゜・．⋇⋆✦⋆⋇　-: ✧ :-゜・．◓◒◕◓●◎◌◎◍▦▧▒▒▤▥🐝🐝🐝🐝🐝🐝
🌼 Hi, honey! 🌼
🍯🍯🍯🍯🍯🍯
🌼🌼🌼🌼🌼🌼
🌱🍃🌱🌱🍃🌱💗✉✉💗✉✉💗
💗✉✉💗✉✉✉
💗💗💗💗✉✉💗
💗✉✉💗✉✉💗
💗✉✉💗✉✉💗🐇🐇🐇💬💬🐇
🐇🐇💬 Kiss!💬
💋💋👩🐇💬💬
🐇🐇👐🐇🐇🐇
🐇🐇👗🐇🐇🐇
🐇🐇👠👠🐇🐇☁ 👋🚀 ☁☁
✨ BYEBYE*
☁ ✨ 🎈
✨ ☁
✨
✨
🌾✨💨 🏃 🏠🏢🐇🐇🐇💬💬🐇
🐇🐇💬 Kiss!💬
💋💋👩🐇💬💬
🐇🐇👐🐇🐇🐇
🐇🐇👗🐇🐇🐇
🐇🐇👠👠🐇🐇",4.0
69,"Specification good enough
Bought for attending online classes and it is very smooth. Have tried streaming videos, MS office files and I have not seen any lags.
Not much of a gamer so haven't utilized 100% of HW.
Charging time is about 3 hours and lasts more than a day.
Camera quality average.
1 major concern for me is the display when the phone is operated outdoor. The brightness level is so low we can barely see anything under the sun light",4.0
70,"I bought it for my mother, and she is learning to use it. 4GB/64GB at this price is really good. Touch is very responsive and quick. Screen quality is little dull and sound output is low compared to other Redmi phones. Redmi needs to work on these for budget phones. Camera is average as it is not camera centered phone. Network reception and battery power is good, last for 1.5 days with normal usage. Overall good phone for beginners and elderly people to start with",4.0
71,"It's been three days now. My readmi 9 phone is performing well. I like the blue shade back cover, the camera picture quality is good, much better than my previous phone. Battery lasts for a day after full charge. I watch a lot of videos on Instagram and youtube and I make a lot of calls. Battery lasts for one day with all this usage. Finger is my favourite. I can unlock the phone with a simple touch.",4.0
72,"After using for few days this are the pros and cons i will mention

PROS
1) 5000 mAh Battery.
2) Performance for Normal usage is Impressive.
3) Supports 20W fast charging.
4) Perfect phone for people looking for
Budgeted phone.
5) Good for playing low resolution games.

CONS
1) The Rear Camera is not so good.
2) The Front Camera as well is not good.
3) Design of this phone is Just Ok, not so well
plastic body Comes with 10W slow charger,
although supports 20W Fast charging.
4) Not good for high resolution gaming as it has
outdated processor.",4.0
73,Very good features for a budget phone. Acceptable performance and for its huge battery surprisingly is light weight. Full day usage sees only 50% of battery left. Screen resolution is so smooth. Highly recommended.,4.0
74,"Excellent phone for price below 9k. Exchanged my old phone so got it for even lower price. Bought it for mom and perfect for her use.
Pros:
1. Large screen
2. Good sound
3. Blue colour looks good
4. Does daily tasks like calling, youtube, gpay with ease
5. Good battery
6. Overall good experience
7. Speaker is loud too

Cons:
1. Very average camera. Daylight condition is fine. In night, camera quality can suffer.

Overall still good phone and worth buying. If camera is specifically needed then try something else.",4.0
75,"i like the camera it is good ,the screen is also good but i feel that the bezels are somewhat big but the overall form factor is good but the only thing that i am not sure with is the processor as it is a mediatek processor but it works fine it would have been nice if they have given fast charging option but for the price it is well rounded so if you are looking for a good phone under 10k go for it",4.0
76,Display better for this price but if you can spend a 1000 rupees more go for Redmi 9 Prime which has better FHD display and good processor than this. Function is good especially for online classes and also the size of display is good for online classes. Games mild okay. Camera is really bad in even very light conditions. Good only in bright places and close-up shots. Overall 3.5 out of 5.,4.0
77,"A simple smartphone. Don't get too much hyped for the features being provided in this budget.
Its a normal smartphone with regular qualities.
Pros-
1. Large Screen size
2. Loud Speaker
3. Battery Life

Cons-
1. Lags from the first unpacking in setting up the phone.
2. Not a user-friendly interface. A first user will face a lot of difficulties while using.
3. Camera doesn't justifies the quality and mps.
4. Fingerprint scanner can be stubborn.",4.0
78,"Awsome smartphone. The display is good, facelock,fingerprint, are good. Has lots of features in one and functions very fast and well. Another thing camera is also good but not so much as of Samsung. Most important in this budget you are getting 4GB Ram and 64GB storage that is the best. Lots of important pre installed apps/wallpapers. Good display. Battery not found so good. You can buy it freely if you are not a heavy phone addictor. Will have good result.",4.0
79,"Very Good phone at these price range. In 64 Gb Its already system used 12 Gb. Camera quality poor, Its saying 13 Mega pixel, I don't think so, it maybe 5 Mega pixel. Once I cancel my prime membership, delivery was delay. Thanks Amazon. Now redmi coming made in india sticker",4.0
80,"In, terms of speed ,memory and ease of use, it's good. Battery and fingerprint reading are excellent. But when, it comes to the speaker output with, certain, well known apps such as zoom, it's not good. Also the recorded voice does not have a reasonably good volume when played back.",4.0
81,"I am going to write review about my redmi 9 phone, i bought this phone 2nd time. I truly satisfied with its price range for like this featurestic phone.
Battery is working whole day for my need.
Phone 's body is rough and tough.
Camera is actually averaged not super.
Fingerprint is works smoothly.
And last, screen of the phone is working as like as other redmi phones.
Phone never hang.
It's speed is also better.",4.0
82,"Bought this phone for my father.... He has minimal usage and he doesn't need more multi tasking. He is content with big screen, triple camera and sound quality.

So people who need performance shouldn't consider this phone... Better go for Snapdragon processor.

The camera quality is average... What else you can get at this price range.. The sound quality is amazing... It's loud and clear.
The fingerprint reader is aso amazing....it's fast and responsive.

The battery life is also good considering average usage...
Works for one and half day.",4.0
83,"Ok is good
I give a presentation to my wife
I know very well for the six months for 8 month mobile will work 100% good after it will know what is a problem coming this is my experience in my life this is the seventh mobile I buy in my lifetime
Anyway thanks for the teamwork
I hope all teamwork people with good health without coronavirus god bless everyone",4.0
84,"Not from hardcore gaming - but play you can play pubg/bgmi only if u r fan, all thing as mentioned,

dual camera but quality is not that much good
average gaming performance

overall buy this if your for daily use and movies multimedia becz of big screen
look is awesome and for light gaming 1-2 hours",4.0
85,"Hi order this phone via amazon by exchange offer, I tried the same with flipkart but they rejected the phone which was working fine. Thanks amazon for accepting the old phone.

A big thumbs-up to amazon",4.0
86,"Redmi 9 is a phone which is quite justified seeing it's price. It has an amazing battery. The storage is more than enough at this price but somehow the camera quality lacks in places that somehow makes you wonder or regret of only I could have gone for Redmi 9 Prime. Anyways. It's a great phone to use. It comes with a 10W charger which takes time but for me it's a plus point cause for my previous phones, I didn't get a charger.",4.0
87,"The fingerprint sensor, and the battery power are good features of this phone. Picture quality with the different cameras are just okay. The phone is working smoothly even with additional installation of other apps.",4.0
88,"Got this phone for my grandparents, i was able to get a good deal on it.
The phone has a nice big screen, display is average quality,
definitly good for media consumption,
the ui is clear, MIUI is easy to use.
The camera is poor though
but if 10K is the budget, this is a go to phone, hands-down.
Definitly a good buy!!!!",4.0
89,"OK, Phone for a regular user.
* Use for a month and heating issue if play games or in charging.
*Battery is not as per details, only one day use.
*Gave it to mother as it was not for a regular user phone who wants To watch Heavy Videos,Surfing, Browsing, Calling. (Forget about heavy Gaming)
*Camera is Ok, could be better.
* Overall Good Phone for users who just want a smart phone with not heavy usage.",4.0
90,An amazing smartphone from Mi with all the basic and lovable features needed for me within the price limit of 8000. I got this phone for 7499 rupees for the 4+64 GB variant. It is among the few phones to give 4GB RAM under 7500 rupees.,4.0
91,"Music player automatically slow down in the middle of the song playing, please response this problem.
As per this model of mobile, camera needs protection of back cover because without back cover camera not in a safe position when anybody uses this mobile and puting on table or anywhere.
I don't like this you don't provide back cover for this mobile. As per current situation of covid, shops are not opened,I am not able to buy back cover of it",4.0
92,Its good for parents. Not for youngster camera quality not good in back side they showing 4 camera point but its have only 2 camera 1 flash and 1 dummy design i brought to my mom so....,4.0
