,Comments,Ratings
10,"It's literally the best phone in the market for this price bracket.

Pros-
1. Good looking design and very Vibrant display.
2. Very fast processor. It's a delight for gamers.
3. Amazing battery (Lasts entire day easily even after heavy usage and charges very quickly)
4. Camera ia AMAZING. Couldn't imagine such high quality camera from a phone of this price. Very clear and sharp. Even in low light it takes very clear pictures.
5. Great RAM management.
6. No heating issues.

Cons-
Couldn't see any as of now.",4.3
11,"Amazing mobile......Pocket Friendly.....Latest Processor & Software ....5G Technology.......Good 64 MP Camara.....Side Mounted Fingerprint .....Big Screen..... Perfect Design and most importantly 55 w Charging Speed and Great120 Zh Refresh Rate... Everything is Awesome....Only concern is that battery has to be 5000 mah and Screen should be Amoled.
Thanks Amazon for fast delivery.",4.3
12,Kachra packed and send to us,4.3
13,"Play Video
 Everything is fine but 3 major thing was not good..
1. No Amoled screen.
2. No punch hole front camera.
3. Low bass its compromising sound system..
...........________But_________.........
4. Battery🔋 Life is awesome.
5. It's a gaming beast.
6. Powerful performance.
7. Hardcore unbeatable segment.🧐
8. U have to go for it.
9. Promising this was really osm..
10. #Iqoo_india love from #Ranchi..🇮🇳
It's worth and it's value for money . I'll get this at 20k.",4.3
14,"I bought the phone on first day of sale at a good discount offer from icici bank. Got it for just 18500 for 8GB and 128 GB variant.
Camera - The camera is super awesome almost at par with GCam experience. Great night and daylight photography with sharp edges and color reproduction.
Processor- The processor 768G of Snapdragon is the latest one with many future updates and configurations. It is superfast in all aspects, really loved scrolling through menu, pages and screens. Playing games is great coz you can play in highest settings with zero lags.
Screen - Coming to the screen, it is very bright and feels immersive. Touch is very responsive and smooth. You will enjoy playing games and watching movies. The screen is light on eye and easy to watch.
Sensors- It has all the sensors and the finger print is lightning fast, you just touch it and it unlocks no waiting even for a single second with super accuracy.
Network - There is carrier aggregation, Calls and everything is stable and has high range for network. Data speed and hotspot works great. The screen mirroring feature is also there. The SAR value is also within limits.
Battery - Charging time is only about 55 minutes for 0-100%. The battery stays on for whole day and more with all the surfing, gaming, music, calls and videos.
Hope 5G comes soon will love to try 5G in this.
I was skeptical as I have never used brands apart from samsung, nokia or apple but I made a great choice with Iqoo by Vivo.

All in all go ahead its the real premium offering of Iqoo from Vivo.",4.3
15,"Play Video
 Just one word - Wow 🤩
.
Screen size - ✅ wow
Sound quality- ✅ pretty good. Had it been two speakers on both side then it would have been on another level
Battery life- ✅ it gave me 1.5 days of normal use along with full charge in 70-80 mins ke around. Pretty decent
Processor- quite epic ✅
Camera- ✅ awesome 64 mp is awesome. If you are looking for vlogging. Then you can buy this. Front camera quality is good. Lighting is perfect.
Fastest fingerprint I have seen ✅. Similar to Samsung s21 ultra phone 📱
.
Lelo yaar agar new phone lena hai. Mast bai. Believe me 💕🤩",4.3
16,"Well i was looking for a budget phone with good display camera and performance ..
And now after using this phone continuously I'm totally satisfied. It fulfilled all my requirement

I know display is not Amoled but trust me colours of this phone are damn superb and you won't miss Amoled at all .

Snapdragon 768 name is enough it's a gaming beast no heating issue.

0 to 60% charged in 26 minutes pretty impressive .

Primary censor is good and others are decent in my opinion . Night mode is great .
Video 4K 60fps very impressive .

Speaker is Mono but sound is crisp and clear .
Overall performance is very good I'm satisfied.

Today i compared it's display with One Plus Nord 1 (Amoled) and for me Iqoo was better because of 120HZ refresh rate as i said you won't miss Amoled colours are too good.

In hand feel and overall look is superb. Loved it ❤️

Atlast i will say if you're looking for a phone under 20K with fast charging great performance then yes it's for you i must say this phone is smoothest .",4.3
17,"I bought it for just 14540/- with exchange of my phone.
Pros
For that price it is more than what you want
The display is one of the best in IPS LCD and can be compared to Amoled
The sound quality is more than decent
The battery is kind of decent as I am a heavy user so gave me about 5-6 hrs of SOT
There is headphone jack for gamers
Charging speed is just awesome
Camera is decent

Till now I am more than satisfied.",4.3
18,"Overall the device is good, this is the first handset to powered by the all new Qualcomm Snapdragon 768 5G SoC with 120Hz display under 18k budget.

Pros.
1. Viewing angles and color reproduction are amazing and can't believe it's an LCD panel
2. Can switch three different refresh rate presets including 60Hz, 90Hz, and 120Hz
3. Decent charging speed, thanks to 55 Watt charger
4. Good selfie camera

Cons.
1. Low audio output
2. Poor haptic feedback
3. Few Bloatware
4. Average rear camera performance

Will update my review after a month to list any deficiencies if noticed.",4.3
19,"Fingerprint scanner-9.5/10
Battery 🔋-9.5/10
Charging speed-19mins 53% too fast
Pubg smooth+extreme little FPS drops when 2-3squads nearby, needs little more optimisation to less fps drop.

Overall UI is faster n better than any other UI, better than REDMI devices.

I prefer if u r buying under 20k beast device, then close ur eyes, don't see any review, go for it, u won't regret after buying it.

Thank u ❤️
Give a like if it helped u👍",4.3
20,"Ordered this for my nephew, my main concern was pubg performance. Thankfully works butter smooth with no heating at all. Only concern is tons of pre installed app which can't be removed. Amazon delivered it within 24 hours of launch. Overall satisfactory purchase.",4.3
21,"Phones in last few years have become all about camera. Offer higher megapixel, show some night photography and you get a device for more than a laptop, 2 wheelers or even best of TVs. The madness had to stop! The sensible is here!

Pros:
1. Reputed superb quality Snapdragon processor
2. Screen response rate automatically adjusts to your usage - upto 120hz!
3. Good battery, superb quick charge & cooling ensures phone doesn't heat up - hence preserving life of the battery
4. Good customization of OS, some v handy features
5. Good placement of fingerprint sensor which is lightening fast

Cons:
Just slightly on the heavier side (comparable to most phones though). Rest will know after more usage

But overall a serious contender for even 30k phones!",4.3
22,"the phone is really good in its price range,
the camera is above average,
processor(phone) is very fast in day to day life and also gives good gaming performance,
I got 8GB 128GB variant so I had no issues in app management or ram management,
The design of cyber blue is awesome and very eye attractive,
120hz refresh rate give you scrolling experience very smooth and there is no lag shutter in my case,
OS gives you feeling of having a stock android experience,
fingerPrint and FaceUnclock is really fast and works fine.
Battery life depends on the usage, for me it gives 10-11 hours easily, I play BGMI and COD for at least 2-3 hours and then day to day apps, and still it gives this much of battery life which is really good

I'll highly recommend to buy it, you will not regret it.
at a price of 18550(after 2500/- discount from amazon), i think its one of the best phone you can get,",4.3
23,"The best smartphone inbthis range, one of its kind for sure. I will recommend the same to everyone. Just see the selfie uploaded, without making any changes in the settings I have clicked the first pic with my daughter. The best phone in this segment",4.3
24,"I read many negative reviews here. But I wanted to try. Hence, I ordered the phone on 21 Oct at the Great Indian Festival (Rs.18,990) and received next day. Extreme fast delivery! I am updating this review after usage of 4 days:
Powerful processor (SD 768G 2.8GHz)
RAM 8 + 4GB

The camera is excellent. You can play lag-free PUBG (with 60 FPS).",4.3
25,"I have been using iPhone and OnePlus for more than 11 years.
I thought of trying Iqoo Z3, I have got it for 12k along with bank and exchange offers!

I bought it without confidence but this proved me wrong!

This really lives up to the expectation!

I am happy with the purchase 🥳🤗🤩!

1. Quick charge.
2. Long lasting battery life.
3. Speed.
4. Camera (can't compare with iPhone 😃, but reasonable).
5. Latest OS with 5G support.

I learn that spending 50k or more on a mobile is not wise but paying 15k on a mobile is a smart decision!",4.3
26,"First Thing I want to Tell You that,i got it at 16490Rs,with all bank cards offer.And here are my opinions and verdict..

Design-I have ordered Cyber blue variant 6/128gb ,and it looks very good with shiny rainbow effect.Many are complaining about fingerprint smudges at the back,but i know all consumers dont use their phone without cases.and that not be counted as a con.Because Phone Is Very very lightweighted with great weight balance, and very comfortable to hold.At this price range ,it is very awesome.

Processor - Speeeedddd ,that all i want to tell u , it is blazing fast. I got at 16.5k and i can prove u ,it is the fastest ohone in the segment except poco x3 pro,because u will get 732g,mt800u in this price with only 64 gb rom. Except poco x3 pro ,but it is very very heavy phone and with heating issues and throttled performance. I can say poco x3 pro is a bhari bharkam dabba,only for secondary uses as gaming.And Yes I am a Bgmi ppaye4,it handles best in the segment..and it is more better than 1+ nord tooo..

DISPLAY-This is something which is pros or con for someone.If You are using amoled display device then u feel the difference(not too much,works well in outdoors too).But If you are not using anoled's,it definitely feels you like amoled(bcoz it is better ips display when u customisze it ).120 HZ IS WORKING VERY VERY IMPRESSIVE,I HAVE compared Narzo 30 pro 120hz display vs iqoo ,and you will feel the real flagship like snoothness.

CAMERA-Camera is descebt,One thing really very like is its stabilisation ,best in the segment as conpared to 1+ nord,even x7 max,it is best camera under 20k,many youtuber reviewed it as average camera ,bcoz they uses flagship phones as primary but it is much better at this segment.

Battery-I used only 2 days,and it giver many impressive results like 5000mah battery,with 4400mah battery,not bother it 66w charger is in the box and device supports 55w and get quick charged in minutes.I think it takes some minutes less than 1hr to full charge 0-100%,but i know no one drop battery below 30% it means 30 min. Of charge is ebough for full charge..

MAJOR ISSUES I FACED IT IN THE DEVIC3 IS WHEN U BOOT UP FIRST TIME AND OPEN ANY APP IT NEED YOUR PERMISSION (IQOO TERMS AND POLICIES) TO WORK(all preinstalled apps,like dialer,contacts messages and even camera) IT FEELS WEIRD AND ANNOYING,BTW YOU CAN DISABLE CAMERA ,LOCATION AND PHONE PERMISSIONS IN SETTING)

SUMMING UP ALL IT IT IS THE BEST AND BEST SMARTPHONE IN THE SEGMENT,I RECOMMEND NOT TO BUY AT 19990RS WAIT FOR SALES AND SAVE MORE..
LIKE FOR MY PATIENCE...😂",4.3
27,"I really liked the phone. Although it doesn't have any extra feature, however the 120Hz refresh rate plus SD 768 makes the usage experience butter smooth. Screen quality is much better than other LCDs and support 4K streaming. Speaker sound is okay, camera is decent- dont expect them outstanding. Portrait camera is however quite good. Lastly, I loved the battery- lasted 3 days after first charge with normal call and whatsapp usage. The transparent back cover is of good quality and screen protector came fixed. Phone is quite big but feels light. Overall good product, only if you prefer battery and user experience good. More than gaming, I found it good for woeking professionals.",4.3
28,"What i notice good in this phone as compared to my old poco x2.
1. Network reception was better ..
I'm able to use my phone with no problem where as poco x2 faceing lot of problems
2. Lite in weight and in hand feel is good not feel cheap in any condition.
3. Final and my reason to change poco is miui.
This funtouch os is lot better than miui its almost same as vivo ui / realme ui don't buy oneplus for this reason its good not like memeui😂
No lag or hang issue(no heating)
Optimization is done very well battery and smoothness is top notch.
Ad and boatware is available but you can unistall or if you want complite clean that also posible via adb tool.(no necessary to do i think)

Cons
1. Don't buy this for camera or display
Both are descent but not top notch.
2.only limited 5g band",4.3
29,"It's very nice mobile phone with its price range
Pros:
1. Camera parameters is very good
2. Battery is long last for a day
3. Features is cool
4. Charging it's very fast with in half an hour it's get charge from 14 to 100 percent
5. Security features is also nice
6. Every day I use use approximately 18 hrs by playing, watching movies ect. It didn't get heating
Cons
1. Display it's lcd screen but looks good if it comes in amoled it's very nice but touch works very fast
2. Sound is dts only not dolnay automs
3. Vivo has to work on advertisement block some time advertisement are irritating.

Although this mobile is awesome in this price range",4.3
30,"My experience with IQOO Z3 10+ days of heavy day to day usage with gaming, streaming, Multi-tasking & taking pictures etc.. IQOO have done a very good job that they introduce *Snapdragon 768G* processor! (Which is overclocked version of 765g). The processor is really amazing, no lag issue found by playing extreme fps in BGMi, but if you use hdr graphics its doesn't support 60 fps then, and in hotdrops it will lag then. But trust me in extreme fps you will enjoy the game more than hdr graphics.. I Have played COD at very high graphics with max frame rate, Fortnite at Epic HD graphics, genshin Impact in HIGHEST graphics! (Play Asphalt 9 with this smartphone you can see the gaming experience and graphics is far better than other smartphones except poco x3 pro which is *only best for gaming*). It has also 5g support. There are 2 bands (n77 & n78) but it doesn't support dual 5g sim standby. And in carrier aggrigation, it only have 1 band! And not stable but like others poco m3 pro/x3/x3 pro, redmi note 10 pro max , nord CE supports 2 bands and very stable! That was disappointing! But 4g network is very good like i get in my area 15-30 mbps download speed and 1.5-2+ mbps upload speed using Vi sim card. Well, yeah it is also a very good camera smartphone at this price! [ I mean you can easily compare with Mi 10i, redmi note 10 pro max, samsung f62, poco x3 pro etc cameras. There are many features and beauty modes in camera like- potrait mode ideas of pose in potrait mode, for girls there is makeup filters, Ai stickers, live photo, 4k 60fps, slow motion supports 1080p-120fps & 720p-240fps!, standard stabilization & Ultra stabilization (EIS), 10x zoom, many filters, styles, light effects etc. ] and comes with 3 primary camera 64 mp main,8 mp ultra wide and 2 mp macro. The macro camera is not at all good at this price.. quanlity of pictures are very blurry and warmth! And yeah it supports Google Camera also! The display IPS is quite veryy better than other ips displays.. which is 120hz refresh rate (you can also choose from options- 60hz, 90hz, 120hz & smart switch) and 180hz of touch sampling, for display's better enhancement you can choose screen color as ""bright"". The costcutting is here that it doesn't get AMOLED screen and sterio speakers! The speaker is decent😐 but using headset (also comes with Bluetooth 5.1 support) you can get ""deepfield audio effects"" ! The design is also quite a good looking stylish smartphone.. the sides are made of aluminium not metal and the back is not glass (for my suggestion glass back will much costly you break that glass) it comes with better polycarbonate back which is better than samsung plastic backs.. for more protection you can use carbon fibre sticker and transparent glass back cover for more good looking and safety! The battery backup is average 4500 mah ( very closed to nord CE for 7-10 minutes) but the best thing that company gives is - the charger is 67 watt but the phone supports 55 watt and charge reallllyyyyyyyyyy fast.. (remember fast charge will work using this phones usb which is 55 watt support usb). The ram management is awesommeeeee! At 6 gb/8 gb varients you can extend them up to 1 gb/ 3 gb more ram! It means 6 gb =7 gb and 8 gb = 11 gb! And UFS 2.2 storage speed! It supports 2 sim (1 hybrid & 1 nano sim) or 1 sim 1 sd card (up to 512gb). Phone is not heavy, 184 grams only. side monted fingerprint sensor which is Reallyyyyyy very fast! It also have 3.5 mm audio jack. Overall there is No Lag, Not getting heating issue (i mean the 5 layer vapour cooling is work like flagship smartphone) and yeah play every game with highest graphics! With gaming features like 4d vibration, eSports mode, Eagle Eye Enhancement etc. Some-people say the funtouch UI is not clean but for my opinion- read the privacy policy or some settings you can easily disable bloatwares! So don't just listen every problems on this device, the device is far better than nord CE and other smartphones at 20000 price! The best midrange *gaming smartphone* is- poco x3 pro BUT FOR BEST GAMING AND CAMERA AND DAILY DAY TO DAY USAGE THE IQOO Z3 LEADS! WORTH IT!❤️ The carrier aggrigation and camera bugs will be better by getting a software update so don't be panic.. and don't upset about ips screen! If you compare side by side with amoled than you can see the difference is very small and the waterdrop notch is not old.. it looks really good at this! (For my option apple iphone doesn't get any notch in 1 lakh price so this 20k phone get waterdrop notch ok) So you can easily buy this smartphone without any hesitation!🙂 my Last update as we know Vivo's sub-brand is IQOO, so don't worry about phone servicing; vivo service centre will also service the iqoo smartphones veryy soon !",4.3
31,"Fingers print a fast reader, battery one day full , game khel rHe h to 8 tak battery life chal sakti h .,camera qualify bhi shi h .
Mai khaon to 19,000 me itna best PhOnE apko nHi mil sakta",4.3
32,"Camara quality improvement required,
Wifi setting WPS options not available I'm network engineer wps options required, our more than 10000 employees there in banglore all are want wps options in any mobile.....

Important:- worst delivery service by Amazon,
Prime membership delivery taking time 48hours why,
Flipkart delivery given 12hours within 1day.

Market other services is there in compitaion plz do fast delivery....",4.3
33,"Got it for 13k after card offer + 1500 discount+ exchanging my 3.5 years old honor 6x for Rs. 4800 during prime day sale. And for 13k price this phone is an Absolute Steal.
Fingerprint reader is blazing fast. Much better than in display readers.
Camera is great. Best in this price. Takes really great pictures among 20k phones.
Funtouch OS is not that great but manageable. Too many terms and conditions for every thing. Ads and bloat wares can be easily disabled. Just search in you tube for the same.
Battery life is great, even with 3-4 hrs PUBG gaming it runs 1.5 days and fast charging is a boon.
Gaming experience is very good for the price and the processor is very power efficient and does not heat at all even after continuous heavy gaming.
Audio quality from headphone jack is very good. But speaker should have been a little louder.
For 13k it's a steal, for 17k it's a great deal. For 20k it's good but there are some other great options as well.
Wait for sales to buy this phone.",4.3
34,"Everything in this phone HV best m best..only 3 negative point I want to share out of 1 is very major problem...First is brightness in this phone not up to mark
2nd..when I captured pic in night then performance of pic was not up to mark.
3re which is most important to every one...I.e in my case water HV entered in my phone...thearafter it was not having on...so I go to service center to check what is exact problem...So I went to there and submit my phone..sometimes after they called to me and say..Motherboard , display, battery, camera has damaged...so if you want to replace item then it will be cost 16235 rs.....Because my phone price was 23000 and I bought it one month ago...so It was not possible to replace new item..then I say to them that Do not replace any item..I shall not replace item...and thereafter I go to local market and say that due to water entered in phone..phone is not having on....he say that I will tell you after 1day..what is the exact problem...N next day He called to me and say that total cost of repair will be 1250.. I am fully surprised because vivo service center employee saying it cant be repaired..only solution is replacement of damage item..So surprised moment...Now my phone is doing work as same before..in this
situation I understood that outsider repair men are more professional and capable, efficient, Knowlesable compare to company service center worker....",4.3
35,"Overall This mobile performance was really superb. First the mobile screen was so nice in both day and night light condition’s. Then processing is really good and coming to camera department comparing with other brands this mobile is awesome with all mode of operation including video and audio. RAM management is 👌 And finally mobile charging of IQOO adapter is super fast as like OnePlus wrap charger.
I really recommend for this mobile to budget oriented people who are searching below 18k rupees.",4.3
36,"I would like to tell the pros and cons here
Pros -
1. It has a 768g 5g processor which makes phone a great performance packed phone.
2. It contains a 64mp AI triple camera and having a 16mp selfish camera which works very well.
3. It has 120hz touch display rate so the phone works smooth and fast as well as the combination of 768g processor and 120hz display rate makes the phone superfast.
4. The battery is of 4400 MaH but it contains a 55w superfast charger which charges the phone 100% in only 40 minutes so the battery recharges fast.
5. RAM is 8gb + 3GB so we can get 11GB RAM in this phone as the RAM is extended.
6. It also contain a liquid cooling system which prevents the phone from heating and it can be considered as a good phone for gaming.
7. It has side mounted fingerprint sensor which takes 0.2 seconds hardly to unlock the phone.
Cons -
The only con for this phone is that it does not have the super amoled display it contains LCD screen but it is also good for this phone and works well.",4.3
37,"The best hardware you can get for 20k !!
The back is plastic but it's somewhat scratch resistant so it's good
The bloatware iss very less and if you uninstall it using ADB no one can tell the difference between oxygen OS and this funtouch os .
The camera is pretty decent
Speakers are not good but I use headphones mostly all the time so not an issue for me
The performance mind-blowing, 120hz works flawlessly , the gaming mode is very good and have some very good features
Most of the time it support 4g+
The battery life and charging speed is out of the world, it could easily last for a day with casual gaming also .
Overall it's a very good package !!",4.3
38,"IT IS THE SUPERIOR PHONE ON THIS PRICE SEGMENT.

Looks Good But Lacks An Identity. There's a clear lack of distinctive personality and a new gradient finish isn't going to make a huge difference. 2021 is all about affordable 5G smartphones. Every other smartphone in India, or the world, this year will be a 5G phone. And, a major chunk of these future-proof devices will be shipped by BBK Electronics, the worlds' largest phone maker from China. Notably, the tech giant offers smartphones under three major brands in India with their sub-brands operating as separate entities. These include Oppo, Vivo, and OnePlus as main brands, and Realme and iQOO now working as separate brands under Oppo and Vivo respectively.",4.3
39,"Play Video
 Received IQOO Z3 just 2days ago.
I don't know if it is the best phone in the segment as I have not used the other competitors as of this moment.
All I know is that it should definitely be one of the best in market.
I am trying to get a hand on clicking decent pictures, the Camera is genuinely superb hands down. Lot of modes you get with the Camera which as an avid ex Samsung User I feel is a big change. Low light photography is good enough. The UI is good, faced lags twice for split seconds and I feel the touch could be a little better but it is still pretty decent enough. Being an ex Samsung User I am used to Fast Touch response but IQOO Z3 doesn't disappoint either. Faced two screen freezes and was pushed out of Whatsapp once. The sound from the speakers is a little sublime but doesn't break at high volume. The apps are organised. It is great when it comes to playing games. Have not faced any heating issues. The dart charging or fast charging is probably the only downside as the 55W charger to charge 50% in 19mins is actually not true takes over an hour to fully charge. Takes over 15hours to discharge after complete charging with moderate use. The phone has a good feel in hand and is slightly larger bulky and slightly heavier so you do feel it is kind of premium.
Overall the processor is fast. UI could be fully bug free in future. Easy to set up. Speakers are good. Phone Doesn't heat. The camera is the best part of the phone. You can click high depth clear pics with full colors closest to what your eyes can see and so many modes make it a mobilegrapher's delightful.
The chassis colors are great. The black isn't matte black but rather is a glossy lead black which often gives off bluish hues under light.
With little downsides and more advantages it is definitely a phone I am sure many users would recommend.
I received an added Rs.1500 discount on the phone so for me personally it is a gem of a bargain.
It comes with a scratch proof film and a back cover too.",4.3
40,"I bought this beast in Amazon's GIF 2021 for 16.8k after exchange of an old smart phone and bank CC discount. Remember this is for 8GB RAM / 256GB Storage option. It'd have been a true flagship slayer if it additionally came with:
1. OLED display
2. Dual-SIM and dedicated micro SD slot. Right now, it has an hybrid slot.
3. 11+ 5G bands - believe it currently supports only 2.
4. An IR Blaster option (wishful?!)
5. A higher resolution and usable 3rd camera.
6. No bloatware, crappy system apps that cannot be uninstalled or disabled.

Strengths:
1. Buttery quick performance.
2. Excellent 120hz display, thought LCD. Also, has multiple refresh rate option. Simply brilliant.
3. Excellent main and 2nd wide angle camera. Supports 4k 60p videos on the main rear camera which is outstanding.
4. Decent battery performance thought rated at 4.4mAH but charges super fast with the supplied charger.

Excellent but not perfect - to sum it up!",4.3
41,"Well mobile is good if you're buying mobile for speed network it's for you carrier aggregation is very good
Camera performance is satisfactory
Gaming is smooth even on 90 fps and max graphics
Jovi home is very useful for daily use
Con's:
Phone is not so secure : your details is stored in vivo data base for over 3 year's as per terms so be careful while signing in the phone try to avoid all bloatware installed don't use the local browser
Change the chrome home setting to default from the vivo home page",4.3
42,"Iqoo z3 delivered to me on 11 june , first of all i have tested the camera the camera quality is to good and it supports 1080p with 60 fps video recording and having stability in video while walking , all people wants pubg review i have played pubg for an hour in smooth-extreme the gameplay is too smooth but sometimes little frame rates drops but that's not a big issue , the temperature after 1 hour gaming is almost 41 degree celcius , the battery does not drain too much , if someonw has lag issue in iqoo z3 you can have a cooler facing the mobile as well as you, the mobile gets full charge in nearly 50 minutes ,at last but not the least i can say u guys can go for it",4.3
43,"So here I'm using this phone from last 5 days.
Camera of this phone is good but video stabilization isn't good. Charging speed is very good but battery backup is average. Main pro of this phone is SN 768 G processor. This works very well and give a good experience while using this phone. Extra features like game mode and all are also very good. Video recording of game is also very good. Captures good quality videos and sound. And some cons are - compromise in built, single speaker, and it is without amoled screen. But after all look of this phone is very good and fell good in hands. So in my opinion this is a very good phone according to this price of 20k",4.3
44,"Writing this review after using the phone for 2 days that
Cons
1 Best Performance
2 Good battery life
3 Good Display

Pros
1 OS could be better",4.3
45,"Pros-
Fingerprint or Battery good
Performance very good

Cons-
phone back side plastic
iQOO Z3 comes with a Polycarbonate body. If you look at the back panel of the Ace Black colour variant of the phone, it gives a shiny and glossy touch even though there is no glass panel present. If we look at the overall frame, it is a plastic frame.(becz, 5 layer cooling system)

display not super amoled
IPS LCD, HDR 10+(but okey iqoo z3 display)

Sound Quality not very good(cutting price)",4.3
46,"IQOO Z3 is jist awesome. At first my first priority was amoled display and in-display fingerprint sensor but after seeing the reviews of the users and youtubers, although this device doesn't have amoled and in-display fingerprint sensor I purchased this device and I am glad that I selected this device.
It has Funtouch OS which is awesome. No lags at all. No ads. And 120 hrz refresh rate do not lag at all. There are many devices with 120 hrz display in this proce point but they all lag at some point but not this one.
Pros -
Performance - I played Pubg for total of 5 hrs with Smooth and extreme settings and for this price it was awesome. Yes frame drops were there but im this price point can't complain. And in day to day usage I can tell you THIS PHONE IS PRETTY GOOD.

Camera - Well to be honest I don't use camera so much but for me it is Superb. It can record 4K 60FPS.

UI - Funtouch OS is better than MIUI AND COLOR OS. Funtouch OS improved so much in past couple of years. Many great features with smoothness.

Cons -

Display - It is not amoled display so... Its display is not bad (don't take it wrong) but amoled display is much better than LCD displays.

No oleophobic coating - because there is no oleophobic coating display is oily everytime ( if you are not using any screen guard). If you are using a screenguard than you won't feel this.

CONCLUSION -
IF YOU WANT BEST OVERALL DEVICE WITH NO ISSUES THAN BUY THIS MONSTER. THIS IS THE BEST DEVICE IN TERMS OF OVERALL PERFORMANCE. (AND YES I KNOW SD860 IS ALSO OUT THERE BUT REMEMBER THAT DEVICE IS COMING WITH MIUI WHICH CAN LAG ANY DEVICE)",4.3
47,"i think, this is the best and fastest Android Phone I have prichased and used so far. I have been using Xiaomi Phones so far, normally, the Redmi Note Pro series. While I do not have mcuh complaint against Xiaomi phones except that they were bulky, heavier and I was not really comfortable with their Note 9 pro max and was looking to change it. This IQOO Z3 was a good deal for me, with rpice, size and weight. I still find the weight on little higher side, I would have preferred if it had weight of say 170g or so.
Its blazing fast ( for my normal Twitter/facebook posts as well as news apps readings.
I dont play games or watch Netflix on it, but occassinaly watch Youtube and those works great. I dont listen music using mobile phone speakers too. And it takes fairly good picturs on emergencies. For real photography, I always prefer Canon 5D Mark 3.",4.3
